dataset,filename,stem,extension,size_bytes,width,height,mode,md5,phash,path
dataset_A,IMG20221109120214.jpg,IMG20221109120214,.jpg,4380202,3456,4608,RGB,d0324a9cfba23b8ec98ac4dccb27b5a8,c94b525c6cb4d34b,data\raw\dataset_A\Pics\IMG20221109120214.jpg
dataset_A,IMG20221109120219.jpg,IMG20221109120219,.jpg,4701505,3456,4608,RGB,d50098853fccc85b94dedf2daec28136,f0305c9d6357d4d4,data\raw\dataset_A\Pics\IMG20221109120219.jpg
dataset_A,IMG20221109120220.jpg,IMG20221109120220,.jpg,3698754,3456,4608,RGB,85e0fa53b69322acc592bbdc6c2fff8c,bf47863878843771,data\raw\dataset_A\Pics\IMG20221109120220.jpg
dataset_A,IMG20221109120222.jpg,IMG20221109120222,.jpg,3636051,3456,4608,RGB,f94afd3c5d529f5cac33dd113b4e05a9,d562c1a72fc39172,data\raw\dataset_A\Pics\IMG20221109120222.jpg
dataset_A,IMG20221109120227.jpg,IMG20221109120227,.jpg,3343825,3456,4608,RGB,a78b6c324fa8a64d6e5089fe2a0ae339,956aca4888979e7e,data\raw\dataset_A\Pics\IMG20221109120227.jpg
dataset_A,IMG20221109120243.jpg,IMG20221109120243,.jpg,2001109,2448,3264,RGB,a2060d2634b36b0566753bf56b481329,c07e3f80b97c68c5,data\raw\dataset_A\Pics\IMG20221109120243.jpg
dataset_A,IMG20221109120246.jpg,IMG20221109120246,.jpg,5536581,3456,4608,RGB,1f57f8b2a300b4b7bd6ef2c760e99569,c07b87901f1eb0f9,data\raw\dataset_A\Pics\IMG20221109120246.jpg
dataset_A,IMG20221109120248.jpg,IMG20221109120248,.jpg,4445796,3456,4608,RGB,fe5e10b7523cbd4ac3cd062eb5dfe03d,f645e97496a629c1,data\raw\dataset_A\Pics\IMG20221109120248.jpg
dataset_A,IMG20221109120250.jpg,IMG20221109120250,.jpg,3665482,3456,4608,RGB,9ac904a1dbc8c815213ad6ca64b48fa6,e0809cfe8f6a981f,data\raw\dataset_A\Pics\IMG20221109120250.jpg
dataset_A,IMG20221109120255.jpg,IMG20221109120255,.jpg,4579029,3456,4608,RGB,9a904eed518e6d44ac7e79d07a9f7aef,8c04958f1e9cb1fd,data\raw\dataset_A\Pics\IMG20221109120255.jpg
dataset_A,IMG20221109120257.jpg,IMG20221109120257,.jpg,5036506,3456,4608,RGB,f272f791b854427935c56d3cbaa897fb,bf2fc5507814d6b0,data\raw\dataset_A\Pics\IMG20221109120257.jpg
dataset_A,IMG20221109152520.jpg,IMG20221109152520,.jpg,2613544,3456,4608,RGB,213660013f3ada070d058acb1b886f5d,ec6cf71301a03e7c,data\raw\dataset_A\Pics\IMG20221109152520.jpg
dataset_A,IMG20221109152524.jpg,IMG20221109152524,.jpg,2559854,3456,4608,RGB,a5ec9523ece5fb65499d021f8a8d52a0,bacd863fbd028b24,data\raw\dataset_A\Pics\IMG20221109152524.jpg
dataset_A,IMG20221109152528.jpg,IMG20221109152528,.jpg,3156629,3456,4608,RGB,286ed727ff3e79cc33d4b2fb8ad0b810,c1c99cc663d99c6c,data\raw\dataset_A\Pics\IMG20221109152528.jpg
dataset_A,IMG20221109152920.jpg,IMG20221109152920,.jpg,3226018,3456,4608,RGB,42b2603269dacfdfa8a2e2c95fcd0c59,a676de9c21ac9e48,data\raw\dataset_A\Pics\IMG20221109152920.jpg
