epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1672.69,0.62756,0.43422,0.93042,0.92787,0.89768,0.95229,0.81118,0.63657,0.41965,0.94058,0.0004754,0.0004754,0.0004754
79,1692.35,0.62444,0.43654,0.92528,0.93289,0.89575,0.9567,0.81391,0.6317,0.41138,0.93191,0.0004556,0.0004556,0.0004556
80,1711.89,0.60097,0.40862,0.91301,0.9238,0.90927,0.95385,0.81486,0.6282,0.41182,0.93738,0.0004358,0.0004358,0.0004358
81,1731.34,0.61352,0.42036,0.92839,0.93176,0.89623,0.95323,0.81253,0.63018,0.41262,0.93485,0.000416,0.000416,0.000416
82,1750.8,0.60496,0.40922,0.92156,0.92717,0.89768,0.95171,0.81054,0.63478,0.41881,0.9426,0.0003962,0.0003962,0.0003962
83,1770.27,0.60277,0.41266,0.92185,0.91381,0.91313,0.9517,0.81648,0.62211,0.42626,0.93918,0.0003764,0.0003764,0.0003764
84,1789.75,0.60622,0.4177,0.9278,0.94017,0.89189,0.95191,0.81762,0.61592,0.41572,0.93377,0.0003566,0.0003566,0.0003566
85,1809.43,0.61616,0.43522,0.9301,0.92295,0.89382,0.95651,0.81793,0.61901,0.40447,0.93407,0.0003368,0.0003368,0.0003368
86,1829.56,0.60319,0.41645,0.92578,0.92652,0.89768,0.954,0.81756,0.6208,0.41819,0.93563,0.000317,0.000317,0.000317
87,1849.19,0.60392,0.41212,0.92423,0.9431,0.88224,0.95233,0.81178,0.62919,0.42016,0.93819,0.0002972,0.0002972,0.0002972
88,1868.69,0.59438,0.39926,0.91975,0.9231,0.90378,0.95164,0.81771,0.62396,0.42106,0.93188,0.0002774,0.0002774,0.0002774
89,1888.17,0.58726,0.39703,0.91788,0.93194,0.89768,0.94977,0.8112,0.61955,0.41831,0.93537,0.0002576,0.0002576,0.0002576
90,1907.69,0.59046,0.40208,0.91631,0.92547,0.89961,0.95506,0.81459,0.62045,0.41752,0.93869,0.0002378,0.0002378,0.0002378
91,1986.43,0.53995,0.33741,0.87993,0.9179,0.90654,0.95041,0.81267,0.61843,0.42904,0.93539,0.000218,0.000218,0.000218
92,2007.96,0.53238,0.3278,0.88074,0.91899,0.9112,0.95394,0.81421,0.61819,0.42773,0.93351,0.0001982,0.0001982,0.0001982
93,2027.61,0.52746,0.31716,0.87959,0.92325,0.90563,0.95536,0.8149,0.62417,0.42054,0.93744,0.0001784,0.0001784,0.0001784
94,2047.28,0.52146,0.3192,0.87636,0.92459,0.89575,0.95577,0.81236,0.61966,0.42512,0.93592,0.0001586,0.0001586,0.0001586
95,2067.7,0.51977,0.31403,0.87675,0.92955,0.89152,0.95179,0.81349,0.61909,0.42332,0.93619,0.0001388,0.0001388,0.0001388
96,2125.92,0.51589,0.3099,0.87794,0.93095,0.8861,0.95523,0.81909,0.61417,0.41758,0.93406,0.000119,0.000119,0.000119
97,2150.44,0.50914,0.30616,0.8686,0.92452,0.89848,0.95379,0.81554,0.61703,0.41982,0.93534,9.92e-05,9.92e-05,9.92e-05
98,2173.28,0.51231,0.30616,0.87317,0.9229,0.90154,0.95324,0.81757,0.61797,0.41781,0.93115,7.94e-05,7.94e-05,7.94e-05
99,2196.61,0.50888,0.30656,0.87503,0.91964,0.90575,0.94784,0.81164,0.61607,0.42715,0.93217,5.96e-05,5.96e-05,5.96e-05
100,2219.24,0.49511,0.29568,0.86918,0.9212,0.90276,0.94817,0.81489,0.61756,0.42568,0.93388,3.98e-05,3.98e-05,3.98e-05
